,open,low,high,close,price_change,change_percent,date,shamsi_date
973,"34,490","34,430","34,490","34,450",10,0.03%,2015/01/16,1393/10/26
974,"34,440","34,380","34,500","34,460",210,0.61%,2015/01/17,1393/10/27
975,"34,490","34,490","34,700","34,670",470,1.36%,2015/01/18,1393/10/28
976,"34,720","34,720","35,210","35,140",400,1.15%,2015/01/19,1393/10/29
977,"35,110","34,680","35,110","34,740",130,0.38%,2015/01/20,1393/10/30
978,"34,620","34,420","34,680","34,610",40,0.12%,2015/01/21,1393/11/01
979,"34,660","34,540","34,660","34,570",140,0.41%,2015/01/22,1393/11/02
980,"34,600","34,430","34,600","34,430",220,0.64%,2015/01/24,1393/11/04
981,"34,480","34,480","34,700","34,650",40,0.12%,2015/01/25,1393/11/05
982,"34,640","34,610","34,900","34,690",90,0.26%,2015/01/26,1393/11/06
983,"34,700","34,600","34,730","34,600",40,0.12%,2015/01/27,1393/11/07
984,"34,590","34,560","34,670","34,560",-,-,2015/01/28,1393/11/08
985,"34,570","34,530","34,640","34,560",10,0.03%,2015/01/29,1393/11/09
986,"34,620","34,510","34,620","34,570",20,0.06%,2015/01/31,1393/11/11
987,"34,590","34,520","34,620","34,550",10,0.03%,2015/02/01,1393/11/12
988,"34,570","34,540","34,580","34,560",-,-,2015/02/02,1393/11/13
989,"34,570","34,540","34,570","34,560",130,0.38%,2015/02/03,1393/11/14
990,"34,550","34,400","34,560","34,430",110,0.32%,2015/02/04,1393/11/15
991,"34,410","34,270","34,410","34,320",130,0.38%,2015/02/05,1393/11/16
992,"34,330","34,160","34,330","34,190",100,0.29%,2015/02/07,1393/11/18
993,"34,160","33,880","34,160","34,090",220,0.65%,2015/02/08,1393/11/19
994,"34,080","34,080","34,370","34,310",10,0.03%,2015/02/09,1393/11/20
995,"34,280","34,210","34,320","34,300",10,0.03%,2015/02/10,1393/11/21
996,"34,320","34,250","34,320","34,290",30,0.09%,2015/02/12,1393/11/23
997,"34,320","34,260","34,350","34,320",20,0.06%,2015/02/14,1393/11/25
998,"34,310","34,260","34,320","34,300",80,0.23%,2015/02/15,1393/11/26
999,"34,310","34,190","34,310","34,220",200,0.59%,2015/02/16,1393/11/27
1000,"34,200","33,980","34,200","34,020",120,0.35%,2015/02/17,1393/11/28
1001,"34,040","34,010","34,150","34,140",-,-,2015/02/18,1393/11/29
1002,"34,180","34,120","34,210","34,140",70,0.21%,2015/02/19,1393/11/30
1003,"34,130","34,040","34,150","34,070",150,0.44%,2015/02/21,1393/12/02
1004,"34,080","34,060","34,220","34,220",130,0.38%,2015/02/22,1393/12/03
1005,"34,200","34,200","34,410","34,350",10,0.03%,2015/02/23,1393/12/04
1006,"34,370","34,290","34,370","34,340",20,0.06%,2015/02/24,1393/12/05
1007,"34,350","34,330","34,450","34,360",10,0.03%,2015/02/25,1393/12/06
1008,"34,390","34,300","34,410","34,350",40,0.12%,2015/02/26,1393/12/07
1009,"34,310","34,310","34,310","34,310",70,0.2%,2015/02/27,1393/12/08
1010,"34,290","34,160","34,330","34,240",20,0.06%,2015/02/28,1393/12/09
1011,"34,260","34,190","34,280","34,260",10,0.03%,2015/03/01,1393/12/10
1012,"34,250","34,240","34,290","34,250",80,0.23%,2015/03/02,1393/12/11
1013,"34,260","34,070","34,260","34,170",30,0.09%,2015/03/03,1393/12/12
1014,"34,180","34,110","34,200","34,200",70,0.21%,2015/03/04,1393/12/13
1015,"34,160","34,130","34,180","34,130",140,0.41%,2015/03/05,1393/12/14
1016,"34,120","33,940","34,120","33,990",70,0.21%,2015/03/07,1393/12/16
1017,"34,020","33,930","34,060","34,060",100,0.29%,2015/03/08,1393/12/17
1018,"34,050","33,960","34,060","33,960",120,0.35%,2015/03/09,1393/12/18
1019,"33,980","33,820","33,980","33,840",480,1.44%,2015/03/10,1393/12/19
1020,"33,800","33,330","33,800","33,360",120,0.36%,2015/03/11,1393/12/20
1021,"33,410","32,960","33,410","33,240",250,0.76%,2015/03/12,1393/12/21
1022,"33,170","32,950","33,170","32,990",790,2.45%,2015/03/13,1393/12/22
1023,"32,960","32,200","32,960","32,200",210,0.65%,2015/03/14,1393/12/23
1024,"32,180","31,600","32,670","32,410",400,1.23%,2015/03/15,1393/12/24
1025,"32,440","32,400","33,150","32,810",720,2.19%,2015/03/16,1393/12/25
1026,"32,870","32,870","33,860","33,530",40,0.12%,2015/03/17,1393/12/26
1027,"33,530","33,350","33,760","33,490",110,0.33%,2015/03/18,1393/12/27
1028,"33,580","32,950","33,700","33,380",180,0.54%,2015/03/19,1393/12/28
1029,"33,560","33,560","33,560","33,560",40,0.12%,2015/03/23,1394/01/03
